emoji_name, emoji_id
"green_A", "<:green_A:1533946763067527248>"
"green_B", "<:green_B:1533946764921667594>"
"green_C", "<:green_C:1533946766888665250>"
"green_D", "<:green_D:1533946768977559743>"
"green_E", "<:green_E:1533946770961338468>"
"green_F", "<:green_F:1533946773075398738>"
"green_G", "<:green_G:1533946775042396350>"
"green_H", "<:green_H:1533946777416237159>"
"green_I", "<:green_I:1533946779748532315>"
"green_J", "<:green_J:1533946782080303306>"
"green_K", "<:green_K:1533946783997104228>"
"green_L", "<:green_L:1533946785947455488>"
"green_M", "<:green_M:1533946787977494670>"
"green_N", "<:green_N:1533946790062067865>"
"green_O", "<:green_O:1533946792360673431>"
"green_P", "<:green_P:1533946795103883295>"
"green_Q", "<:green_Q:1533946799646314736>"
"green_R", "<:green_R:1533946802091331604>"
"green_S", "<:green_S:1533946803982962738>"
"green_U", "<:green_U:1533946828817432766>"
"green_V", "<:green_V:1533946830944080024>"
"green_W", "<:green_W:1533946834395857037>"
"green_X", "<:green_X:1533946836577026199>"
"green_Y", "<:green_Y:1533946838691086377>"
"green_Z", "<:green_Z:1533946841283166278>"
"grey_A", "<:grey_A:1533946843560677417>"
"grey_B", "<:grey_B:1533946846135976166>"
"grey_C", "<:grey_C:1533946848388186214>"
"grey_D", "<:grey_D:1533946850048999546>"
"grey_E", "<:grey_E:1533946852246945802>"
"grey_F", "<:grey_F:1533946854323261702>"
"grey_G", "<:grey_G:1533946856952954981>"
"grey_H", "<:grey_H:1533946868353077268>"
"grey_I", "<:grey_I:1533946870882373844>"
"grey_J", "<:grey_J:1533946872941645967>"
"grey_K", "<:grey_K:1533946875055702156>"
"grey_L", "<:grey_L:1533946877295202414>"
"grey_M", "<:grey_M:1533946879350538270>"
"grey_N", "<:grey_N:1533946881439301663>"
"grey_O", "<:grey_O:1533946883624538163>"
"grey_P", "<:grey_P:1533946885998383164>"
"grey_Q", "<:grey_Q:1533946887839813853>"
"grey_R", "<:grey_R:1533946890977022122>"
"grey_S", "<:grey_S:1533946893502124293>"
"grey_T", "<:grey_T:1533946895322321058>"
"grey_U", "<:grey_U:1533946897490903292>"
"grey_V", "<:grey_V:1533946899915079730>"
"grey_W", "<:grey_W:1533946902221947000>"
"grey_X", "<:grey_X:1533946904139006143>"
"grey_Y", "<:grey_Y:1533946905996820691>"
"grey_Z", "<:grey_Z:1533946908551418109>"
"yellow_A", "<:yellow_A:1533946911105486980>"
"yellow_B", "<:yellow_B:1533946913215348736>"
"yellow_C", "<:yellow_C:1533946915639791697>"
"yellow_D", "<:yellow_D:1533946918030278746>"
"yellow_E", "<:yellow_E:1533946919913521182>"
"yellow_F", "<:yellow_F:1533946922069393580>"
"yellow_G", "<:yellow_G:1533946923998773421>"
"yellow_H", "<:yellow_H:1533946926028816476>"
"yellow_I", "<:yellow_I:1533946928058994840>"
"yellow_J", "<:yellow_J:1533946930089037964>"
"yellow_K", "<:yellow_K:1533946931880005782>"
"yellow_L", "<:yellow_L:1533946934333804625>"
"yellow_M", "<:yellow_M:1533946937152241785>"
"yellow_N", "<:yellow_N:1533946939802910890>"
"yellow_O", "<:yellow_O:1533946942013575188>"
"yellow_P", "<:yellow_P:1533946944194478282>"
"yellow_Q", "<:yellow_Q:1533946946211938575>"
"yellow_R", "<:yellow_R:1533946948216688712>"
"yellow_S", "<:yellow_S:1533946950540591114>"
"yellow_T", "<:yellow_T:1533946952431960257>"
"yellow_U", "<:yellow_U:1533946955003068587>"
"yellow_V", "<:yellow_V:1533946957138235553>"
"yellow_W", "<:yellow_W:1533946960250142760>"
"yellow_X", "<:yellow_X:1533946963068850186>"
"yellow_Y", "<:yellow_Y:1533946965078048818>"
"yellow_Z", "<:yellow_Z:1533946967246508174>"
"green_T", "<:green_T:1533947066697384135>"
